,Unnamed: 0,region,location,location_link,name,link,rating,rating_num,latitude,longitude,cooking,service,price_quality,environment,excellence_cert,address,price,families,couples,alone,business,friends,mar_may,jun_aug,sep_nov,dec_feb,excellent,very_good,good,bad,very_bad,Italian,first_foreign_new,second_foreign_new,excellent_p,very_good_p,good_p,bad_p,very_p,families_p,couples_p,alone_p,business_p,friends_p,mar_may_p,jun_aug_p,sep_nov_p,dec_feb_p
295,148,-1,-1,-1,-1,-1,4.0,77.0,50.87701,4.704771,3.5,4.0,3.5,3.5,0,-1,-1,29.0,11.0,3.0,4.0,77.0,8.0,2.0,5.0,5.0,18.0,38.0,12.0,5.0,4.0,,,,0.23376623376623398,0.49350649350649395,0.155844155844156,0.0649350649350649,0.051948051948052,0.37662337662337697,0.14285714285714302,0.038961038961039,0.051948051948052,1.0,0.103896103896104,0.025974025974026,0.0649350649350649,0.0649350649350649
296,364,-1,-1,-1,-1,-1,2.0,3.0,50.879909999999995,4.70169,,,,,0,-1,-1,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,,,,0.0,0.33333333333333304,0.0,0.0,0.666666666666667,0.0,1.0,0.0,0.0,0.0,0.0,0.666666666666667,0.33333333333333304,0.0
297,68,-1,-1,-1,-1,-1,4.0,205.0,50.878159000000004,4.703594,4.5,4.0,4.0,4.0,1,-1,-1,31.0,61.0,2.0,7.0,72.0,51.0,58.0,53.0,43.0,87.0,75.0,24.0,11.0,8.0,,,,0.42439024390243896,0.365853658536585,0.11707317073170699,0.0536585365853659,0.0390243902439024,0.15121951219512197,0.29756097560975603,0.00975609756097561,0.0341463414634146,0.35121951219512204,0.24878048780487802,0.28292682926829305,0.258536585365854,0.209756097560976
298,275,-1,-1,-1,-1,-1,4.5,5.0,50.87587,4.71109,,,,,0,-1,-1,0.0,0.0,4.0,0.0,1.0,3.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,,,,0.6,0.2,0.2,0.0,0.0,0.0,0.0,0.8,0.0,0.2,0.6,0.0,0.2,0.2
299,26,-1,-1,-1,-1,-1,4.5,138.0,50.877911,4.703725,4.5,4.5,4.0,,1,-1,-1,31.0,27.0,14.0,3.0,51.0,40.0,38.0,28.0,32.0,93.0,26.0,11.0,6.0,2.0,,,,0.673913043478261,0.18840579710144897,0.0797101449275362,0.0434782608695652,0.0144927536231884,0.22463768115942,0.195652173913043,0.101449275362319,0.0217391304347826,0.36956521739130394,0.289855072463768,0.27536231884058004,0.202898550724638,0.23188405797101397
300,243,-1,-1,-1,-1,-1,3.5,53.0,50.878334,4.702083,3.5,3.5,3.5,,0,-1,-1,12.0,24.0,3.0,2.0,10.0,19.0,8.0,15.0,11.0,12.0,22.0,7.0,4.0,8.0,,,,0.226415094339623,0.41509433962264203,0.132075471698113,0.0754716981132075,0.150943396226415,0.226415094339623,0.45283018867924496,0.0566037735849057,0.0377358490566038,0.188679245283019,0.358490566037736,0.150943396226415,0.283018867924528,0.20754716981132101
301,173,-1,-1,-1,-1,-1,3.5,159.0,50.881386,4.714187,3.5,3.5,3.5,3.5,0,-1,-1,14.0,34.0,17.0,31.0,46.0,29.0,42.0,45.0,43.0,27.0,62.0,39.0,18.0,13.0,,,,0.169811320754717,0.389937106918239,0.245283018867925,0.11320754716981098,0.0817610062893082,0.0880503144654088,0.213836477987421,0.106918238993711,0.19496855345911998,0.289308176100629,0.18238993710691798,0.264150943396226,0.283018867924528,0.270440251572327
302,190,-1,-1,-1,-1,-1,4.0,32.0,50.878456,4.707656,4.0,4.5,4.5,4.5,0,-1,-1,3.0,0.0,2.0,4.0,16.0,12.0,6.0,7.0,7.0,15.0,8.0,4.0,4.0,1.0,,,,0.46875,0.25,0.125,0.125,0.03125,0.09375,0.0,0.0625,0.125,0.5,0.375,0.1875,0.21875,0.21875
303,80,-1,-1,-1,-1,-1,4.5,71.0,50.880103999999996,4.697458999999999,4.5,4.5,4.0,4.0,0,-1,-1,11.0,23.0,2.0,4.0,22.0,20.0,17.0,19.0,15.0,36.0,27.0,5.0,3.0,0.0,,,,0.5070422535211271,0.38028169014084495,0.0704225352112676,0.0422535211267606,0.0,0.154929577464789,0.323943661971831,0.028169014084507005,0.0563380281690141,0.30985915492957694,0.28169014084507,0.23943661971831,0.267605633802817,0.211267605633803
304,337,-1,-1,-1,-1,-1,3.5,4.0,50.8811,4.6993,,,,,0,-1,-1,2.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,,,,0.0,0.5,0.25,0.25,0.0,0.5,0.25,0.25,0.0,1.0,0.0,0.0,0.0,0.0
